N,Mario,Icarus
0,0.7741935483870968,0.22580645161290322
1,0.76,0.24
2,0.625,0.375
3,0.8709677419354839,0.12903225806451613
4,0.24324324324324326,0.7567567567567568
5,0.6666666666666666,0.3333333333333333
6,0.8571428571428571,0.14285714285714285
7,0.68,0.32
8,0.6923076923076923,0.3076923076923077
9,0.8695652173913043,0.13043478260869565
10,0.52,0.48
11,0.2,0.8
12,0.9047619047619048,0.09523809523809523
13,0.85,0.15
14,0.6538461538461539,0.34615384615384615
15,0.68,0.32
16,0.5384615384615384,0.46153846153846156
17,1.0,0.0
18,0.6956521739130435,0.30434782608695654
19,0.5294117647058824,0.47058823529411764
20,0.625,0.375
21,0.047619047619047616,0.9523809523809523
22,0.7619047619047619,0.23809523809523808
23,0.5666666666666667,0.43333333333333335
24,0.125,0.875
25,0.6428571428571429,0.35714285714285715
26,0.44,0.56
27,0.7692307692307693,0.23076923076923078
28,0.875,0.125
29,0.7222222222222222,0.2777777777777778
30,0.95,0.05
31,0.5769230769230769,0.4230769230769231
32,0.9444444444444444,0.05555555555555555
33,0.9642857142857143,0.03571428571428571
34,0.07142857142857142,0.9285714285714286
35,0.7333333333333333,0.26666666666666666
36,0.9333333333333333,0.06666666666666667
37,0.84,0.16
38,0.9629629629629629,0.037037037037037035
39,0.029411764705882353,0.9705882352941176
40,0.75,0.25
41,0.7037037037037037,0.2962962962962963
42,0.8461538461538461,0.15384615384615385
43,0.4375,0.5625
44,0.3333333333333333,0.6666666666666666
45,0.88,0.12
46,0.38461538461538464,0.6153846153846154
47,0.6363636363636364,0.36363636363636365
48,0.88,0.12
49,0.19047619047619047,0.8095238095238095
50,0.25,0.75
51,0.8181818181818182,0.18181818181818182
52,0.88,0.12
53,0.8,0.2
54,0.88,0.12
55,0.8421052631578947,0.15789473684210525
56,0.5,0.5
57,0.43478260869565216,0.5652173913043478
58,0.4,0.6
59,0.5806451612903226,0.41935483870967744
60,0.8518518518518519,0.14814814814814814
61,0.8148148148148148,0.18518518518518517
62,0.9333333333333333,0.06666666666666667
63,0.9545454545454546,0.045454545454545456
64,0.5555555555555556,0.4444444444444444
65,0.20833333333333334,0.7916666666666666
66,0.6666666666666666,0.3333333333333333
67,0.6296296296296297,0.37037037037037035
68,0.9166666666666666,0.08333333333333333
69,0.8125,0.1875
70,0.9615384615384616,0.038461538461538464
71,0.5416666666666666,0.4583333333333333
72,0.16666666666666666,0.8333333333333334
73,0.16666666666666666,0.8333333333333334
74,0.875,0.125
75,0.88,0.12
76,0.6666666666666666,0.3333333333333333
77,0.3157894736842105,0.6842105263157895
78,0.5,0.5
79,0.9615384615384616,0.038461538461538464
80,0.5555555555555556,0.4444444444444444
81,0.6875,0.3125
82,0.9117647058823529,0.08823529411764706
83,0.9166666666666666,0.08333333333333333
84,0.8214285714285714,0.17857142857142858
85,0.25,0.75
86,0.8695652173913043,0.13043478260869565
87,0.9166666666666666,0.08333333333333333
88,0.8235294117647058,0.17647058823529413
89,0.64,0.36
90,0.64,0.36
91,0.92,0.08
92,0.6,0.4
93,0.4,0.6
94,0.625,0.375
95,0.7083333333333334,0.2916666666666667
96,0.9333333333333333,0.06666666666666667
97,0.7777777777777778,0.2222222222222222
98,0.4444444444444444,0.5555555555555556
99,0.11764705882352941,0.8823529411764706
