N,Mario,Icarus
0,0.90625,0.09375
1,0.6666666666666666,0.3333333333333333
2,0.5625,0.4375
3,0.84375,0.15625
4,0.96875,0.03125
5,0.18181818181818182,0.8181818181818182
6,0.28125,0.71875
7,0.6666666666666666,0.3333333333333333
8,0.17647058823529413,0.8235294117647058
9,0.48484848484848486,0.5151515151515151
10,0.5588235294117647,0.4411764705882353
11,0.6060606060606061,0.3939393939393939
12,0.7714285714285715,0.22857142857142856
13,0.375,0.625
14,0.6060606060606061,0.3939393939393939
15,0.46875,0.53125
16,0.15625,0.84375
17,0.71875,0.28125
18,0.5,0.5
19,0.8484848484848485,0.15151515151515152
20,0.5882352941176471,0.4117647058823529
21,0.8888888888888888,0.1111111111111111
22,0.75,0.25
23,0.0,1.0
24,0.9393939393939394,0.06060606060606061
25,0.75,0.25
26,0.59375,0.40625
27,0.84375,0.15625
28,0.25,0.75
29,0.65625,0.34375
30,0.7647058823529411,0.23529411764705882
31,0.25,0.75
32,0.53125,0.46875
33,0.78125,0.21875
34,0.5151515151515151,0.48484848484848486
35,0.84375,0.15625
36,0.6363636363636364,0.36363636363636365
37,0.46875,0.53125
38,0.8484848484848485,0.15151515151515152
39,0.21875,0.78125
40,0.5151515151515151,0.48484848484848486
41,0.90625,0.09375
42,0.84375,0.15625
43,0.6363636363636364,0.36363636363636365
44,0.65625,0.34375
45,0.6470588235294118,0.35294117647058826
46,0.5454545454545454,0.45454545454545453
47,0.5454545454545454,0.45454545454545453
48,0.53125,0.46875
49,0.65625,0.34375
