N,Density
0,91.40625
1,86.71875
2,70.3125
3,83.59375
4,98.4375
5,88.28125
6,80.46875
7,92.96875
8,67.96875
9,94.53125
10,93.75
11,74.21875
12,82.8125
13,86.71875
14,90.625
15,82.03125
16,67.1875
17,98.4375
18,70.3125
19,90.625
20,71.09375
21,94.53125
22,84.375
23,78.90625
24,72.65625
25,85.15625
26,69.53125
27,83.59375
28,78.125
29,85.9375
30,78.125
31,90.625
32,76.5625
33,87.5
34,85.15625
35,88.28125
36,83.59375
37,96.875
38,85.9375
39,87.5
40,90.625
41,77.34375
42,67.96875
43,48.4375
44,71.875
45,65.625
46,69.53125
47,82.03125
48,83.59375
49,67.1875
