N,Difficulty
0,68.75
1,68.75
2,75.0
3,68.75
4,62.5
5,62.5
6,75.0
7,75.0
8,75.0
9,68.75
10,56.25
11,50.0
12,75.0
13,75.0
14,75.0
15,75.0
16,62.5
17,75.0
18,62.5
19,68.75
20,75.0
21,62.5
22,56.25
23,75.0
24,75.0
25,68.75
26,68.75
27,56.25
28,56.25
29,75.0
30,62.5
31,75.0
32,75.0
33,75.0
34,75.0
35,75.0
36,56.25
37,56.25
38,62.5
39,43.75
40,56.25
41,68.75
42,62.5
43,68.75
44,50.0
45,68.75
46,75.0
47,62.5
48,62.5
49,50.0
50,75.0
51,68.75
52,75.0
53,75.0
54,56.25
55,75.0
56,68.75
57,68.75
58,62.5
59,56.25
60,75.0
61,56.25
62,56.25
63,62.5
64,50.0
65,56.25
66,56.25
67,75.0
68,56.25
69,56.25
70,62.5
71,75.0
72,62.5
73,50.0
74,62.5
75,75.0
76,75.0
77,62.5
78,75.0
79,68.75
80,75.0
81,68.75
82,75.0
83,75.0
84,75.0
85,56.25
86,56.25
87,75.0
88,62.5
89,75.0
90,0.0
91,62.5
92,62.5
93,62.5
94,75.0
95,62.5
96,75.0
97,62.5
98,75.0
99,75.0
