N,Difficulty
0,68.75
1,68.75
2,81.25
3,43.75
4,43.75
5,75.0
6,68.75
7,81.25
8,68.75
9,68.75
10,56.25
11,68.75
12,75.0
13,68.75
14,62.5
15,56.25
16,68.75
17,87.5
18,62.5
19,56.25
20,56.25
21,43.75
22,62.5
23,87.5
24,68.75
25,75.0
26,87.5
27,81.25
28,50.0
29,81.25
30,81.25
31,62.5
32,68.75
33,75.0
34,68.75
35,75.0
36,68.75
37,68.75
38,68.75
39,50.0
40,62.5
41,50.0
42,75.0
43,62.5
44,68.75
45,56.25
46,68.75
47,68.75
48,56.25
49,56.25
50,68.75
51,75.0
52,68.75
53,62.5
54,75.0
55,62.5
56,62.5
57,62.5
58,68.75
59,68.75
60,81.25
61,81.25
62,62.5
63,87.5
64,68.75
65,62.5
66,68.75
67,87.5
68,62.5
69,68.75
70,87.5
71,68.75
72,56.25
73,62.5
74,75.0
75,62.5
76,75.0
77,87.5
78,68.75
79,87.5
80,93.75
81,81.25
82,81.25
83,68.75
84,62.5
85,68.75
86,56.25
87,68.75
88,75.0
89,56.25
90,68.75
91,68.75
92,62.5
93,56.25
94,68.75
95,62.5
96,50.0
97,62.5
98,68.75
99,62.5
