Chunk,Density,Difficulty,SMB,KI
ki_chunk_0.txt,59.375,0.0,0.0,1.0
ki_chunk_1.txt,57.03125,0.0,0.0,1.0
ki_chunk_10.txt,26.5625,0.0,0.0,1.0
ki_chunk_100.txt,51.5625,37.5,0.0,1.0
ki_chunk_101.txt,51.5625,37.5,0.0,1.0
ki_chunk_102.txt,60.9375,37.5,0.0,1.0
ki_chunk_103.txt,54.6875,37.5,0.0,1.0
ki_chunk_104.txt,60.9375,37.5,0.0,1.0
ki_chunk_105.txt,71.09375,25.0,0.0,1.0
ki_chunk_106.txt,64.84375,25.0,0.0,1.0
ki_chunk_107.txt,71.09375,25.0,0.0,1.0
ki_chunk_108.txt,79.6875,25.0,0.0,1.0
ki_chunk_109.txt,84.375,25.0,0.0,1.0
ki_chunk_11.txt,22.65625,0.0,0.0,1.0
ki_chunk_110.txt,90.625,25.0,0.0,1.0
ki_chunk_111.txt,101.5625,12.5,0.0,1.0
ki_chunk_112.txt,95.3125,12.5,0.0,1.0
ki_chunk_113.txt,101.5625,12.5,0.0,1.0
ki_chunk_114.txt,109.375,0.0,0.0,1.0
ki_chunk_115.txt,102.34375,0.0,0.0,1.0
ki_chunk_116.txt,107.8125,0.0,0.0,1.0
ki_chunk_117.txt,117.1875,0.0,0.0,1.0
ki_chunk_118.txt,114.0625,0.0,0.0,1.0
ki_chunk_119.txt,114.0625,0.0,0.0,1.0
ki_chunk_12.txt,25.78125,0.0,0.0,1.0
ki_chunk_120.txt,117.96875,0.0,0.0,1.0
ki_chunk_121.txt,114.0625,0.0,0.0,1.0
ki_chunk_122.txt,114.0625,0.0,0.0,1.0
ki_chunk_123.txt,116.40625,0.0,0.0,1.0
ki_chunk_124.txt,114.0625,0.0,0.0,1.0
ki_chunk_125.txt,114.0625,0.0,0.0,1.0
ki_chunk_126.txt,118.75,0.0,0.0,1.0
ki_chunk_127.txt,114.0625,0.0,0.0,1.0
ki_chunk_128.txt,114.0625,0.0,0.0,1.0
ki_chunk_129.txt,115.625,0.0,0.0,1.0
ki_chunk_13.txt,25.78125,0.0,0.0,1.0
ki_chunk_130.txt,114.0625,0.0,0.0,1.0
ki_chunk_131.txt,114.84375,0.0,0.0,1.0
ki_chunk_132.txt,114.84375,0.0,0.0,1.0
ki_chunk_133.txt,110.9375,0.0,0.0,1.0
ki_chunk_134.txt,111.71875,0.0,0.0,1.0
ki_chunk_135.txt,112.5,0.0,0.0,1.0
ki_chunk_136.txt,108.59375,0.0,0.0,1.0
ki_chunk_137.txt,108.59375,0.0,0.0,1.0
ki_chunk_138.txt,110.9375,0.0,0.0,1.0
ki_chunk_139.txt,108.59375,0.0,0.0,1.0
ki_chunk_14.txt,28.90625,0.0,0.0,1.0
ki_chunk_140.txt,108.59375,0.0,0.0,1.0
ki_chunk_141.txt,109.375,0.0,0.0,1.0
ki_chunk_142.txt,101.5625,0.0,0.0,1.0
ki_chunk_143.txt,98.4375,0.0,0.0,1.0
ki_chunk_144.txt,96.09375,0.0,0.0,1.0
ki_chunk_145.txt,88.28125,6.25,0.0,1.0
ki_chunk_146.txt,94.53125,6.25,0.0,1.0
ki_chunk_147.txt,89.0625,6.25,0.0,1.0
ki_chunk_148.txt,86.71875,6.25,0.0,1.0
ki_chunk_149.txt,82.03125,6.25,0.0,1.0
ki_chunk_15.txt,25.78125,0.0,0.0,1.0
ki_chunk_150.txt,75.0,6.25,0.0,1.0
ki_chunk_151.txt,68.75,6.25,0.0,1.0
ki_chunk_152.txt,63.28125,6.25,0.0,1.0
ki_chunk_153.txt,57.8125,18.75,0.0,1.0
ki_chunk_154.txt,61.71875,18.75,0.0,1.0
ki_chunk_155.txt,55.46875,18.75,0.0,1.0
ki_chunk_156.txt,49.21875,18.75,0.0,1.0
ki_chunk_157.txt,42.96875,18.75,0.0,1.0
ki_chunk_158.txt,40.625,18.75,0.0,1.0
ki_chunk_159.txt,38.28125,31.25,0.0,1.0
ki_chunk_16.txt,26.5625,0.0,0.0,1.0
ki_chunk_160.txt,46.875,31.25,0.0,1.0
ki_chunk_161.txt,46.875,25.0,0.0,1.0
ki_chunk_162.txt,35.15625,25.0,0.0,1.0
ki_chunk_163.txt,37.5,25.0,0.0,1.0
ki_chunk_164.txt,35.15625,25.0,0.0,1.0
ki_chunk_165.txt,34.375,25.0,0.0,1.0
ki_chunk_166.txt,35.15625,25.0,0.0,1.0
ki_chunk_167.txt,35.15625,25.0,0.0,1.0
ki_chunk_168.txt,35.15625,37.5,0.0,1.0
ki_chunk_169.txt,46.875,25.0,0.0,1.0
ki_chunk_17.txt,26.5625,6.25,0.0,1.0
ki_chunk_170.txt,34.375,25.0,0.0,1.0
ki_chunk_171.txt,34.375,25.0,0.0,1.0
ki_chunk_172.txt,35.15625,25.0,0.0,1.0
ki_chunk_173.txt,35.15625,25.0,0.0,1.0
ki_chunk_174.txt,35.15625,37.5,0.0,1.0
ki_chunk_175.txt,46.875,25.0,0.0,1.0
ki_chunk_176.txt,34.375,25.0,0.0,1.0
ki_chunk_177.txt,34.375,25.0,0.0,1.0
ki_chunk_178.txt,35.9375,25.0,0.0,1.0
ki_chunk_179.txt,32.8125,25.0,0.0,1.0
ki_chunk_18.txt,32.8125,6.25,0.0,1.0
ki_chunk_180.txt,35.9375,25.0,0.0,1.0
ki_chunk_181.txt,37.5,25.0,0.0,1.0
ki_chunk_182.txt,38.28125,25.0,0.0,1.0
ki_chunk_183.txt,45.3125,25.0,0.0,1.0
ki_chunk_184.txt,46.875,12.5,0.0,1.0
ki_chunk_185.txt,40.625,12.5,0.0,1.0
ki_chunk_186.txt,42.1875,12.5,0.0,1.0
ki_chunk_187.txt,43.75,12.5,0.0,1.0
ki_chunk_188.txt,53.125,12.5,0.0,1.0
ki_chunk_189.txt,59.375,12.5,0.0,1.0
ki_chunk_19.txt,29.6875,6.25,0.0,1.0
ki_chunk_190.txt,64.0625,0.0,0.0,1.0
ki_chunk_2.txt,47.65625,0.0,0.0,1.0
ki_chunk_20.txt,32.8125,6.25,0.0,1.0
ki_chunk_21.txt,26.5625,6.25,0.0,1.0
ki_chunk_22.txt,29.6875,6.25,0.0,1.0
ki_chunk_23.txt,29.6875,6.25,0.0,1.0
ki_chunk_24.txt,29.6875,6.25,0.0,1.0
ki_chunk_25.txt,29.6875,6.25,0.0,1.0
ki_chunk_26.txt,29.6875,6.25,0.0,1.0
ki_chunk_27.txt,32.8125,6.25,0.0,1.0
ki_chunk_28.txt,27.34375,6.25,0.0,1.0
ki_chunk_29.txt,30.46875,6.25,0.0,1.0
ki_chunk_3.txt,42.96875,0.0,0.0,1.0
ki_chunk_30.txt,27.34375,6.25,0.0,1.0
ki_chunk_31.txt,30.46875,6.25,0.0,1.0
ki_chunk_32.txt,27.34375,6.25,0.0,1.0
ki_chunk_33.txt,33.59375,0.0,0.0,1.0
ki_chunk_34.txt,27.34375,6.25,0.0,1.0
ki_chunk_35.txt,29.6875,6.25,0.0,1.0
ki_chunk_36.txt,26.5625,6.25,0.0,1.0
ki_chunk_37.txt,29.6875,6.25,0.0,1.0
ki_chunk_38.txt,26.5625,6.25,0.0,1.0
ki_chunk_39.txt,29.6875,6.25,0.0,1.0
ki_chunk_4.txt,39.84375,0.0,0.0,1.0
ki_chunk_40.txt,26.5625,6.25,0.0,1.0
ki_chunk_41.txt,26.5625,6.25,0.0,1.0
ki_chunk_42.txt,32.03125,6.25,0.0,1.0
ki_chunk_43.txt,26.5625,6.25,0.0,1.0
ki_chunk_44.txt,29.6875,6.25,0.0,1.0
ki_chunk_45.txt,26.5625,6.25,0.0,1.0
ki_chunk_46.txt,29.6875,6.25,0.0,1.0
ki_chunk_47.txt,26.5625,12.5,0.0,1.0
ki_chunk_48.txt,32.8125,12.5,0.0,1.0
ki_chunk_49.txt,26.5625,12.5,0.0,1.0
ki_chunk_5.txt,43.75,0.0,0.0,1.0
ki_chunk_50.txt,29.6875,6.25,0.0,1.0
ki_chunk_51.txt,27.34375,6.25,0.0,1.0
ki_chunk_52.txt,30.46875,6.25,0.0,1.0
ki_chunk_53.txt,27.34375,6.25,0.0,1.0
ki_chunk_54.txt,30.46875,6.25,0.0,1.0
ki_chunk_55.txt,27.34375,6.25,0.0,1.0
ki_chunk_56.txt,27.34375,6.25,0.0,1.0
ki_chunk_57.txt,32.8125,6.25,0.0,1.0
ki_chunk_58.txt,27.34375,6.25,0.0,1.0
ki_chunk_59.txt,30.46875,6.25,0.0,1.0
ki_chunk_6.txt,41.40625,0.0,0.0,1.0
ki_chunk_60.txt,27.34375,6.25,0.0,1.0
ki_chunk_61.txt,30.46875,6.25,0.0,1.0
ki_chunk_62.txt,27.34375,6.25,0.0,1.0
ki_chunk_63.txt,33.59375,0.0,0.0,1.0
ki_chunk_64.txt,27.34375,6.25,0.0,1.0
ki_chunk_65.txt,29.6875,6.25,0.0,1.0
ki_chunk_66.txt,26.5625,6.25,0.0,1.0
ki_chunk_67.txt,29.6875,6.25,0.0,1.0
ki_chunk_68.txt,26.5625,6.25,0.0,1.0
ki_chunk_69.txt,29.6875,6.25,0.0,1.0
ki_chunk_7.txt,39.84375,0.0,0.0,1.0
ki_chunk_70.txt,26.5625,6.25,0.0,1.0
ki_chunk_71.txt,26.5625,6.25,0.0,1.0
ki_chunk_72.txt,39.0625,6.25,0.0,1.0
ki_chunk_73.txt,33.59375,6.25,0.0,1.0
ki_chunk_74.txt,33.59375,18.75,0.0,1.0
ki_chunk_75.txt,42.96875,18.75,0.0,1.0
ki_chunk_76.txt,42.96875,18.75,0.0,1.0
ki_chunk_77.txt,39.84375,18.75,0.0,1.0
ki_chunk_78.txt,41.40625,18.75,0.0,1.0
ki_chunk_79.txt,35.15625,18.75,0.0,1.0
ki_chunk_8.txt,41.40625,0.0,0.0,1.0
ki_chunk_80.txt,35.15625,25.0,0.0,1.0
ki_chunk_81.txt,45.3125,25.0,0.0,1.0
ki_chunk_82.txt,45.3125,25.0,0.0,1.0
ki_chunk_83.txt,42.1875,37.5,0.0,1.0
ki_chunk_84.txt,54.6875,37.5,0.0,1.0
ki_chunk_85.txt,51.5625,37.5,0.0,1.0
