Vector,Density,Difficulty,SMB,KI
0,9.765625,0.0,0.32,0.68
1,8.984375,0.0,0.6956521739130435,0.30434782608695654
2,9.375,0.390625,0.88,0.12
3,10.9375,0.0,0.6071428571428571,0.39285714285714285
4,9.375,0.0,0.9583333333333334,0.041666666666666664
5,8.203125,0.0,0.9565217391304348,0.043478260869565216
6,9.765625,0.78125,0.9259259259259259,0.07407407407407407
7,8.984375,0.0,0.21739130434782608,0.782608695652174
8,13.28125,0.390625,0.34285714285714286,0.6571428571428571
9,10.546875,0.0,1.0,0.0
10,8.984375,0.0,0.5217391304347826,0.4782608695652174
11,10.15625,0.0,0.8461538461538461,0.15384615384615385
12,10.546875,0.0,0.4074074074074074,0.5925925925925926
13,10.15625,0.0,0.7307692307692307,0.2692307692307692
14,9.765625,0.0,0.48,0.52
15,5.46875,0.0,0.07142857142857142,0.9285714285714286
16,12.5,0.390625,0.2727272727272727,0.7272727272727273
17,8.59375,0.0,0.9545454545454546,0.045454545454545456
18,8.59375,0.0,0.5909090909090909,0.4090909090909091
19,8.203125,0.390625,0.92,0.08
20,8.984375,0.390625,0.7916666666666666,0.20833333333333334
21,10.15625,0.0,0.6153846153846154,0.38461538461538464
22,7.8125,0.0,0.15,0.85
23,8.984375,0.0,0.4782608695652174,0.5217391304347826
24,7.03125,0.0,0.2777777777777778,0.7222222222222222
25,13.671875,0.0,0.5277777777777778,0.4722222222222222
26,8.984375,0.0,0.7916666666666666,0.20833333333333334
27,10.9375,0.390625,0.6551724137931034,0.3448275862068966
28,8.59375,0.0,0.18181818181818182,0.8181818181818182
29,8.203125,0.390625,0.6818181818181818,0.3181818181818182
30,10.15625,0.0,0.34615384615384615,0.6538461538461539
31,10.15625,0.0,0.15384615384615385,0.8461538461538461
32,8.984375,0.0,0.92,0.08
33,8.59375,0.390625,0.8695652173913043,0.13043478260869565
34,10.9375,0.0,0.5714285714285714,0.42857142857142855
35,4.6875,0.0,0.16666666666666666,0.8333333333333334
36,5.859375,0.0,0.3333333333333333,0.6666666666666666
37,7.03125,0.0,0.7222222222222222,0.2777777777777778
38,9.375,0.0,0.16666666666666666,0.8333333333333334
39,12.5,0.0,0.90625,0.09375
40,7.421875,0.390625,0.6,0.4
41,5.859375,0.390625,0.9375,0.0625
42,7.8125,0.0,0.9,0.1
43,9.375,0.0,0.8518518518518519,0.14814814814814814
44,9.375,0.0,0.8,0.2
45,7.03125,0.0,0.7777777777777778,0.2222222222222222
46,8.984375,0.0,0.8695652173913043,0.13043478260869565
47,11.71875,0.0,0.59375,0.40625
48,9.765625,0.0,0.44,0.56
49,5.078125,0.0,0.0,1.0
50,7.421875,0.0,0.5714285714285714,0.42857142857142855
51,10.15625,0.0,0.3076923076923077,0.6923076923076923
52,7.8125,0.0,0.8636363636363636,0.13636363636363635
53,11.328125,0.0,0.6206896551724138,0.3793103448275862
54,7.8125,0.0,0.7619047619047619,0.23809523809523808
55,8.984375,0.390625,0.4583333333333333,0.5416666666666666
56,11.328125,0.78125,0.8125,0.1875
57,4.6875,0.0,0.25,0.75
58,3.125,0.0,0.0,1.0
59,9.375,0.0,0.3333333333333333,0.6666666666666666
60,7.421875,0.0,0.9047619047619048,0.09523809523809523
61,6.640625,0.390625,0.8333333333333334,0.16666666666666666
62,7.8125,0.0,0.75,0.25
63,14.453125,0.0,0.5405405405405406,0.4594594594594595
64,7.03125,0.390625,0.9545454545454546,0.045454545454545456
65,4.6875,0.0,0.0,1.0
66,8.59375,0.0,0.22727272727272727,0.7727272727272727
67,14.0625,0.0,0.32432432432432434,0.6756756756756757
68,8.59375,0.0,0.8181818181818182,0.18181818181818182
69,7.8125,0.0,0.85,0.15
70,7.03125,0.78125,0.9,0.1
71,11.328125,0.0,0.6666666666666666,0.3333333333333333
72,3.90625,0.0,0.3,0.7
73,9.375,0.0,0.5833333333333334,0.4166666666666667
74,6.25,0.0,0.47058823529411764,0.5294117647058824
75,8.203125,0.0,0.92,0.08
76,10.546875,0.0,0.8148148148148148,0.18518518518518517
77,8.203125,0.0,0.9523809523809523,0.047619047619047616
78,10.9375,0.0,0.6071428571428571,0.39285714285714285
79,8.203125,0.78125,0.6521739130434783,0.34782608695652173
80,11.71875,0.0,0.5333333333333333,0.4666666666666667
81,9.765625,0.390625,0.7307692307692307,0.2692307692307692
82,10.9375,0.390625,0.6551724137931034,0.3448275862068966
83,10.9375,0.0,0.39285714285714285,0.6071428571428571
84,11.328125,0.0,0.10344827586206896,0.896551724137931
85,7.03125,0.390625,0.9,0.1
86,12.5,0.0,0.7142857142857143,0.2857142857142857
87,7.8125,0.0,0.7,0.3
88,7.421875,0.0,0.8,0.2
89,11.328125,0.390625,0.5882352941176471,0.4117647058823529
90,7.8125,0.0,0.6,0.4
91,8.59375,0.0,0.4090909090909091,0.5909090909090909
92,5.46875,0.0,0.42857142857142855,0.5714285714285714
93,5.859375,0.0,0.9333333333333333,0.06666666666666667
94,9.375,0.0,0.2916666666666667,0.7083333333333334
95,6.640625,0.0,0.5882352941176471,0.4117647058823529
96,10.15625,0.0,0.6923076923076923,0.3076923076923077
97,8.59375,0.0,0.96,0.04
98,9.765625,0.78125,0.7037037037037037,0.2962962962962963
99,7.421875,0.0,0.2631578947368421,0.7368421052631579
100,8.59375,0.0,0.8181818181818182,0.18181818181818182
101,8.984375,0.0,0.782608695652174,0.21739130434782608
102,8.203125,0.390625,0.7727272727272727,0.22727272727272727
103,8.984375,0.0,0.6666666666666666,0.3333333333333333
104,10.15625,0.390625,0.8518518518518519,0.14814814814814814
105,8.984375,0.0,0.391304347826087,0.6086956521739131
106,7.8125,0.0,0.75,0.25
107,9.375,0.0,0.8333333333333334,0.16666666666666666
108,7.8125,0.390625,0.7619047619047619,0.23809523809523808
109,7.421875,0.0,0.875,0.125
110,10.15625,0.0,0.46153846153846156,0.5384615384615384
111,10.15625,0.0,0.8518518518518519,0.14814814814814814
112,6.25,0.0,0.0625,0.9375
113,12.5,0.0,0.7714285714285715,0.22857142857142856
114,8.203125,0.0,0.6666666666666666,0.3333333333333333
115,10.9375,0.0,0.4642857142857143,0.5357142857142857
116,8.203125,0.0,0.09523809523809523,0.9047619047619048
117,10.9375,0.0,0.9642857142857143,0.03571428571428571
118,8.203125,0.0,0.7727272727272727,0.22727272727272727
119,10.15625,0.0,0.4230769230769231,0.5769230769230769
120,4.6875,0.0,0.4166666666666667,0.5833333333333334
121,4.296875,0.0,0.0,1.0
122,8.203125,0.0,0.8695652173913043,0.13043478260869565
123,7.8125,0.0,0.875,0.125
124,6.640625,0.0,0.8823529411764706,0.11764705882352941
125,10.546875,0.390625,0.42857142857142855,0.5714285714285714
126,7.03125,0.0,0.8333333333333334,0.16666666666666666
127,7.03125,0.78125,0.9,0.1
128,10.15625,0.390625,0.18518518518518517,0.8148148148148148
129,3.515625,0.0,0.6666666666666666,0.3333333333333333
130,7.03125,0.390625,0.8421052631578947,0.15789473684210525
131,8.59375,0.0,0.8571428571428571,0.14285714285714285
132,8.984375,0.0,0.6521739130434783,0.34782608695652173
133,7.421875,0.390625,0.9523809523809523,0.047619047619047616
134,9.375,0.0,0.8076923076923077,0.19230769230769232
135,7.03125,0.0,1.0,0.0
136,8.59375,0.0,0.8260869565217391,0.17391304347826086
137,8.203125,0.0,0.09523809523809523,0.9047619047619048
138,9.375,0.390625,0.56,0.44
139,12.109375,0.0,0.5483870967741935,0.45161290322580644
140,10.9375,0.0,0.8928571428571429,0.10714285714285714
141,8.59375,0.0,0.45454545454545453,0.5454545454545454
142,8.984375,0.78125,0.8461538461538461,0.15384615384615385
143,14.453125,0.0,0.10810810810810811,0.8918918918918919
144,7.8125,0.0,0.5,0.5
145,8.984375,0.0,0.7307692307692307,0.2692307692307692
146,8.59375,0.0,0.45454545454545453,0.5454545454545454
147,11.71875,0.0,0.36666666666666664,0.6333333333333333
148,8.203125,0.0,0.6666666666666666,0.3333333333333333
149,4.296875,0.0,0.09090909090909091,0.9090909090909091
150,8.59375,0.0,0.6818181818181818,0.3181818181818182
151,9.375,0.0,0.6923076923076923,0.3076923076923077
